Date,Open,High,Low,Close
1981-06-02,184.12,184.12,184.12,184.12
1981-06-03,184.57,184.57,184.57,184.57
1981-06-04,182.91,182.91,182.91,182.91
1981-06-05,184.27,184.27,184.27,184.27
1981-06-08,184.8,184.8,184.8,184.8
1981-06-09,185.13,185.13,185.13,185.13
1981-06-10,185.37,185.37,185.37,185.37
1981-06-11,183.39,183.39,183.39,183.39
1981-06-12,182.52,182.52,182.52,182.52
1981-06-15,182.63,182.63,182.63,182.63
1981-06-16,182.89,182.89,182.89,182.89
1981-06-17,183.41,183.41,183.41,183.41
1981-06-18,182.59,182.59,182.59,182.59
1981-06-19,183.21,183.21,183.21,183.21
1981-06-22,183.66,183.66,183.66,183.66
1981-06-23,183.63,183.63,183.63,183.63
1981-06-24,183.34,183.34,183.34,183.34
1981-06-25,183.78,183.78,183.78,183.78
1981-06-26,183.62,183.62,183.62,183.62
1981-06-29,184.06,184.06,184.06,184.06
1981-06-30,184.8,184.8,184.8,184.8
1981-07-01,184.48,184.48,184.48,184.48
1981-07-02,183.36,183.36,183.36,183.36
1981-07-03,184.47,184.47,184.47,184.47
1981-07-06,183.03,183.03,183.03,183.03
1981-07-07,182.55,182.55,182.55,182.55
1981-07-08,180.72,180.72,180.72,180.72
1981-07-09,181.02,181.02,181.02,181.02
1981-07-10,182.6,182.6,182.6,182.6
1981-07-13,183.73,183.73,183.73,183.73
1981-07-14,184.04,184.04,184.04,184.04
1981-07-15,186.75,186.75,186.75,186.75
1981-07-16,187.13,187.13,187.13,187.13
1981-07-17,186.43,186.43,186.43,186.43
1981-07-20,185.71,185.71,185.71,185.71
1981-07-21,185.03,185.03,185.03,185.03
1981-07-22,187.38,187.38,187.38,187.38
1981-07-23,187.29,187.29,187.29,187.29
1981-07-24,187.6,187.6,187.6,187.6
1981-07-27,189.05,189.05,189.05,189.05
1981-07-28,189.54,189.54,189.54,189.54
1981-07-29,188.75,188.75,188.75,188.75
1981-07-30,189.55,189.55,189.55,189.55
1981-07-31,189.73,189.73,189.73,189.73
1981-08-03,189.39,189.39,189.39,189.39
1981-08-04,189.33,189.33,189.33,189.33
1981-08-05,187.21,187.21,187.21,187.21
1981-08-06,185.54,185.54,185.54,185.54
1981-08-07,180.96,180.96,180.96,180.96
1981-08-10,179.12,179.12,179.12,179.12
1981-08-11,179.66,179.66,179.66,179.66
1981-08-12,179.65,179.65,179.65,179.65
1981-08-13,179.55,179.55,179.55,179.55
1981-08-14,180.39,180.39,180.39,180.39
1981-08-17,179.47,179.47,179.47,179.47
1981-08-18,178.94,178.94,178.94,178.94
1981-08-19,179.84,179.84,179.84,179.84
1981-08-20,180.66,180.66,180.66,180.66
1981-08-21,180.97,180.97,180.97,180.97
1981-08-24,180.08,180.08,180.08,180.08
1981-08-25,179.64,179.64,179.64,179.64
1981-08-26,182.08,182.08,182.08,182.08
1981-08-27,181.94,181.94,181.94,181.94
1981-08-28,182.29,182.29,182.29,182.29
1981-08-31,183.67,183.67,183.67,183.67
1981-09-01,183.38,183.38,183.38,183.38
1981-09-02,183.58,183.58,183.58,183.58
1981-09-03,185.25,185.25,185.25,185.25
1981-09-04,185.79,185.79,185.79,185.79
1981-09-08,186.08,186.08,186.08,186.08
1981-09-09,187.64,187.64,187.64,187.64
1981-09-10,187.71,187.71,187.71,187.71
1981-09-11,187.91,187.91,187.91,187.91
1981-09-14,188.94,188.94,188.94,188.94
1981-09-15,188.3,188.3,188.3,188.3
1981-09-16,191.84,191.84,191.84,191.84
1981-09-17,193.57,193.57,193.57,193.57
1981-09-18,194.42,194.42,194.42,194.42
1981-09-21,196.06,196.06,196.06,196.06
1981-09-22,193.82,193.82,193.82,193.82
1981-09-23,193.23,193.23,193.23,193.23
1981-09-24,192.88,192.88,192.88,192.88
1981-09-25,192.84,192.84,192.84,192.84
1981-09-28,193.72,193.72,193.72,193.72
1981-09-29,195.73,195.73,195.73,195.73
1981-09-30,194.87,194.87,194.87,194.87
1981-10-01,195.69,195.69,195.69,195.69
1981-10-02,197.27,197.27,197.27,197.27
1981-10-05,199.48,199.48,199.48,199.48
1981-10-06,199.47,199.47,199.47,199.47
1981-10-07,200.83,200.83,200.83,200.83
1981-10-08,201.87,201.87,201.87,201.87
1981-10-09,201.7,201.7,201.7,201.7
1981-10-13,200.68,200.68,200.68,200.68
1981-10-14,200.72,200.72,200.72,200.72
1981-10-15,201.71,201.71,201.71,201.71
1981-10-16,200.93,200.93,200.93,200.93
1981-10-19,202.93,202.93,202.93,202.93
1981-10-20,202.86,202.86,202.86,202.86
1981-10-21,200.51,200.51,200.51,200.51
1981-10-22,199.72,199.72,199.72,199.72
1981-10-23,199.13,199.13,199.13,199.13
1981-10-26,199.38,199.38,199.38,199.38
1981-10-27,198.59,198.59,198.59,198.59
1981-10-28,199.23,199.23,199.23,199.23
1981-10-29,201.33,201.33,201.33,201.33
1981-10-30,202.37,202.37,202.37,202.37
1981-11-02,201.04,201.04,201.04,201.04
1981-11-04,200.4,200.4,200.4,200.4
1981-11-05,200.32,200.32,200.32,200.32
1981-11-06,201.03,201.03,201.03,201.03
1981-11-09,200.52,200.52,200.52,200.52
1981-11-10,201.09,201.09,201.09,201.09
1981-11-12,200.41,200.41,200.41,200.41
1981-11-13,199.54,199.54,199.54,199.54
1981-11-16,196.41,196.41,196.41,196.41
1981-11-17,194.25,194.25,194.25,194.25
1981-11-18,193.81,193.81,193.81,193.81
1981-11-19,191.46,191.46,191.46,191.46
1981-11-20,188.76,188.76,188.76,188.76
1981-11-23,188.36,188.36,188.36,188.36
1981-11-24,188.8,188.8,188.8,188.8
1981-11-25,189.29,189.29,189.29,189.29
1981-11-27,189.79,189.79,189.79,189.79
1981-11-30,188.69,188.69,188.69,188.69
1981-12-01,189.76,189.76,189.76,189.76
1981-12-02,188.78,188.78,188.78,188.78
1981-12-03,189.31,189.31,189.31,189.31
1981-12-04,189.63,189.63,189.63,189.63
1981-12-07,189.31,189.31,189.31,189.31
1981-12-08,189.03,189.03,189.03,189.03
1981-12-09,190.05,190.05,190.05,190.05
1981-12-10,189.14,189.14,189.14,189.14
1981-12-11,189.16,189.16,189.16,189.16
1981-12-14,188.56,188.56,188.56,188.56
1981-12-15,187.01,187.01,187.01,187.01
1981-12-16,186.92,186.92,186.92,186.92
1981-12-17,187.13,187.13,187.13,187.13
1981-12-18,186.34,186.34,186.34,186.34
1981-12-21,187.89,187.89,187.89,187.89
1981-12-22,188.23,188.23,188.23,188.23
1981-12-23,189.18,189.18,189.18,189.18
1981-12-24,190.97,190.97,190.97,190.97
1981-12-28,191.45,191.45,191.45,191.45
1981-12-29,190.86,190.86,190.86,190.86
1981-12-30,190.43,190.43,190.43,190.43
1981-12-31,191.54,191.54,191.54,191.54
1982-01-04,190.34,190.34,190.34,190.34
1982-01-05,189.46,189.46,189.46,189.46
1982-01-06,190.67,190.67,190.67,190.67
1982-01-07,191.45,191.45,191.45,191.45
1982-01-08,191.18,191.18,191.18,191.18
1982-01-11,190.67,190.67,190.67,190.67
1982-01-12,190.2,190.2,190.2,190.2
1982-01-13,190.81,190.81,190.81,190.81
1982-01-14,189.86,189.86,189.86,189.86
1982-01-15,189.37,189.37,189.37,189.37
1982-01-18,191.28,191.28,191.28,191.28
1982-01-19,190.79,190.79,190.79,190.79
1982-01-20,190.5,190.5,190.5,190.5
1982-01-21,191.56,191.56,191.56,191.56
1982-01-22,192.1,192.1,192.1,192.1
1982-01-25,191.35,191.35,191.35,191.35
1982-01-26,192.37,192.37,192.37,192.37
1982-01-27,192.8,192.8,192.8,192.8
1982-01-28,193.56,193.56,193.56,193.56
1982-01-29,192.2,192.2,192.2,192.2
1982-02-01,193.04,193.04,193.04,193.04
1982-02-02,193.37,193.37,193.37,193.37
1982-02-03,194.07,194.07,194.07,194.07
1982-02-04,194.19,194.19,194.19,194.19
1982-02-05,194.19,194.19,194.19,194.19
1982-02-08,194.18,194.18,194.18,194.18
1982-02-09,194.21,194.21,194.21,194.21
1982-02-10,194.75,194.75,194.75,194.75
1982-02-11,194.29,194.29,194.29,194.29
1982-02-16,195.92,195.92,195.92,195.92
1982-02-17,195.39,195.39,195.39,195.39
